,season,team_id,wins,plus_minus,three_point_avg,ft_attempts_pergame,off_rebounds_pergame,turnovers_pergame,field_goals_avg
0,2003,1102,12,7,0.36763722239796925,17.107142857142858,4.178571428571429,11.428571428571429,0.4861490139383912
1,2003,1103,13,17,0.331990026376079,25.85185185185185,9.777777777777779,12.62962962962963,0.4872937956048829
2,2003,1104,17,120,0.3254418718154824,20.928571428571427,13.571428571428571,13.285714285714286,0.4196763985604499
3,2003,1105,7,-127,0.35962982143593264,21.846153846153847,13.5,18.653846153846153,0.39620408509419913
4,2003,1106,13,-4,0.3501958180003797,16.464285714285715,12.285714285714286,17.035714285714285,0.4255296262536187
5,2003,1107,7,-274,0.35453621190438095,13.535714285714286,8.25,12.571428571428571,0.4197215743683612
6,2003,1108,14,-133,0.3175512002347866,20.939393939393938,13.121212121212121,18.454545454545453,0.428876020439715
7,2003,1110,16,134,0.38688833877087114,16.533333333333335,10.0,13.166666666666666,0.43466400550514167
8,2003,1111,16,40,0.33383307550967145,26.192307692307693,13.0,16.192307692307693,0.44728906888440856
9,2003,1112,25,419,0.35106036156227977,25.0,15.178571428571429,14.785714285714286,0.46356260622590056
10,2003,1113,18,197,0.3283762214796698,26.20689655172414,13.689655172413794,14.0,0.4816798952814811
11,2003,1114,16,-1,0.37639544941375824,22.428571428571427,10.535714285714286,15.964285714285714,0.4508765652261611
12,2003,1115,4,-551,0.2665035325724493,17.607142857142858,9.964285714285714,19.107142857142858,0.3534735363032084
13,2003,1116,9,-137,0.31325602532800917,19.571428571428573,14.535714285714286,16.678571428571427,0.39709919465942756
14,2003,1117,11,34,0.37231942928882295,21.423076923076923,10.961538461538462,13.26923076923077,0.4337556756042179
15,2003,1119,3,-345,0.35560427807486633,12.72,7.92,17.36,0.4137595465585077
16,2003,1120,19,136,0.35566217309335496,19.733333333333334,11.933333333333334,15.9,0.47005544540091704
17,2003,1122,20,54,0.35354161141012463,24.0,10.62962962962963,15.222222222222221,0.45681021592044563
18,2003,1123,13,-82,0.3203645644860815,22.133333333333333,13.166666666666666,12.833333333333334,0.42769079806464416
19,2003,1124,14,17,0.3459852667523865,17.535714285714285,11.714285714285714,13.285714285714286,0.40970753276705557
20,2003,1125,16,49,0.37424498095767494,18.928571428571427,10.535714285714286,16.928571428571427,0.4725611060696503
21,2003,1126,8,-246,0.35782307683118686,18.466666666666665,12.3,15.866666666666667,0.41617525891034085
22,2003,1127,14,10,0.35514545624604965,16.0,11.703703703703704,15.074074074074074,0.42034581260288034
23,2003,1128,17,82,0.3533525630477082,22.23076923076923,10.653846153846153,15.653846153846153,0.4433451490917268
24,2003,1129,12,-29,0.2949563789606672,20.892857142857142,11.178571428571429,14.392857142857142,0.41282666456084316
25,2003,1130,18,96,0.34263367250490184,25.655172413793103,13.793103448275861,13.344827586206897,0.46949203803925277
26,2003,1131,20,145,0.34020522124933894,19.2,11.0,13.366666666666667,0.4323296234345574
27,2003,1132,11,-112,0.3617359185091122,24.11111111111111,8.666666666666666,16.666666666666668,0.4424799805191619
28,2003,1133,11,-2,0.3603436408284952,23.413793103448278,11.0,14.172413793103448,0.4365431190688217
29,2003,1135,17,53,0.37813265476108243,25.0,9.535714285714286,15.678571428571429,0.4630482556340599
30,2003,1137,13,-46,0.33939307319744516,21.75,9.714285714285714,15.821428571428571,0.4086729090164371
31,2003,1138,5,-207,0.3158312471660193,19.142857142857142,13.571428571428571,14.5,0.40334136167878476
32,2003,1139,24,222,0.3907223783444501,16.551724137931036,7.827586206896552,10.413793103448276,0.47772948338544385
33,2003,1140,23,272,0.3809370940487989,24.161290322580644,10.870967741935484,13.741935483870968,0.471151546523916
34,2003,1141,23,177,0.37748146802266025,25.17241379310345,10.586206896551724,18.24137931034483,0.5063490902598006
35,2003,1142,15,-25,0.3168968497633837,19.448275862068964,11.517241379310345,15.827586206896552,0.42731517467292324
36,2003,1143,21,137,0.3759344264148363,19.517241379310345,11.241379310344827,14.172413793103448,0.46874091138753904
37,2003,1144,4,-343,0.35092317530598655,18.384615384615383,7.846153846153846,16.0,0.4401288694018554
38,2003,1145,10,-25,0.34627797447917213,16.357142857142858,11.5,14.321428571428571,0.4409400091832187
39,2003,1147,10,-126,0.3106458782445625,22.791666666666668,11.041666666666666,16.083333333333332,0.45370856092265804
40,2003,1148,15,12,0.37995224940509364,17.821428571428573,11.5,15.464285714285714,0.46610330259754723
41,2003,1149,12,-34,0.27620314501327836,16.307692307692307,10.76923076923077,14.653846153846153,0.4430629317738839
42,2003,1150,13,-42,0.329962115868372,20.24137931034483,14.655172413793103,13.724137931034482,0.3974417861443062
43,2003,1151,19,118,0.37533410293704467,22.857142857142858,12.607142857142858,16.464285714285715,0.4818711583289895
